owner_mid,owner_name,owner_face,owner_sign,owner_gender,owner_level,owner_verified,owner_verified_title,owner_vip_type,owner_follower_count,owner_following_count,owner_video_count
3670216,TF家族,https://i1.hdslb.com/bfs/face/1c74336b9060d40d0ccf5e8bce7c0de34526b1e3.jpg,"官方YouTube账号：
时代少年团Teens In Times官方频道
登陆计划-TransFormProject
TF FAMILY",保密,6,True,TF家族官方账号,0,8505310,8,2566
30222764,洛温阿特金森,https://i2.hdslb.com/bfs/face/8991695154e980e8986b35a78e44bf52c8173b06.jpg,当彩虹失去颜色，当湖水不再清澈，像我这样的好男孩还有几个。｜商务合作请私信,保密,6,False,,2,1556734,520,91
39627524,食贫道,https://i2.hdslb.com/bfs/face/eef12b850c10b0d7a7929236abb08604955823c0.jpg,大开大合丨商务合作请联系vx:sihechuangyi（麻烦备注公司、咨询内容）,保密,6,True,2025百大UP主、2024年度原创栏目奖UP主、2020年度正能量UP主,2,9177483,207,604
14229967,一数,https://i1.hdslb.com/bfs/face/812281bada7d323c23c6e1e2e92749bd29b7d7c6.jpg,高中各科优质免费资源，尽在“一系列”！公众号「一数儿」，优秀老师想加入一系列可加VX：bilibiliyishu（请备注）,保密,6,True,2025百大UP主、2025年度弹幕人气奖UP主、2025年度商业影响力奖UP主,2,23544040,13,817
1372433,Super也好君,https://i2.hdslb.com/bfs/face/b317a89ea78958e7b2aad85a8bf63d29b28c6710.jpg,商务合作＋V：wyh2406298890  素材投稿：2406298890@qq.com,保密,6,True,bilibili 2022百大UP主、知名UP主,2,2810428,429,194
447317111,Meetfood觅食,https://i2.hdslb.com/bfs/face/bea5c769459bddb4b955c19ce4e4dc3d8b46f8ea.jpg,美食的背后，是文化和故事。 商务合作请联系vx：MeetFoodBIZ（添加注明品牌）,男,6,True,2023百大UP主、知名美食UP主,2,5316698,291,330
63231,泛式,https://i0.hdslb.com/bfs/face/2608aaa45309c77ac88fbfaa40e160b8c7892985.jpg,谢谢你喜欢我的视频 | 微博: @泛式 | 淘宝店: 泛式的泛卖屋,男,6,True,2025百大UP主、2025直播年度人气奖UP主、直播高能主播,2,6625242,541,372
1958342,水无月菌,https://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,什么都玩儿～偶尔随缘直播，本人没有任何群（也没有加任何群哦）谢谢你这么可爱还关注我哈哈哈哈哈，只在b站投稿哦！,保密,6,True,2025百大UP主、知名游戏UP主、直播高能主播,2,2713911,212,244
23947287,小约翰可汗,https://i0.hdslb.com/bfs/face/e5cba5169ea4da2c24546705b495e0380fe08d08.jpg,快更了快更了,保密,6,True,2025百大UP主、2025年度最高人气奖UP主、2023年度商业影响力奖UP主,2,10629610,399,244
7481602,安州牧,https://i1.hdslb.com/bfs/face/2cb8dc454c1b8d34d3690a3031f616c91832527e.jpg,可能是，历史学里最想拍电影的。,男,6,True,2023百大UP主、知名科普UP主,2,2459063,180,253
686127,籽岷,https://i0.hdslb.com/bfs/face/7efb679569b2faeff38fa08f6f992fa1ada5e948.webp, 为人民服务 新质成长力 AI游戏大玩家 MBTI：INFP,男,6,True,2025年度公益UP主、2024百大UP主、知名游戏UP主,2,5270531,802,6495
67141499,大漠叔叔,https://i2.hdslb.com/bfs/face/f625f36c97c57a7ec47f7f6dc4010edf205509d6.jpg, Youtube、微博同名，叔是正经叔！,男,6,True,bilibili 2021百大UP主、Vlog领域优质UP主，大漠叔叔官方账号,2,6520891,153,564
1869712375,山城小栗旬的理发日记,https://i1.hdslb.com/bfs/face/21a7acb06d7ecbd35d27213f87ea6749f9fd18e0.jpg,"一个有点东西，东西不多的up主
在重庆（二刀刘男士理发馆）
会剪发
有点帅
挣不少
喜欢女
是个好人
也是个俗人
我们来给理发师正名的！
",男,6,True,bilibili 2022百大UP主、2022年度黑马UP主,2,3812859,101,196
2029306,-评头论足-,https://i1.hdslb.com/bfs/face/90c87ce17a6234b7ab4e0ffb7179f45e9613d0a1.jpg,商务合作信箱：pinggaoda@qq.com,男,6,True,bilibili 知名动漫UP主,2,1352614,1,1094
624052719,切片计划,https://i0.hdslb.com/bfs/face/1e6e299a944f139da64a889126ece71fce9d499f.jpg,"用影像、感受力与女性的眼睛，打开世界的另一种观看方式。
合作请加：qiepianjihua",保密,6,True,bilibili 知名影视UP主,1,1773573,113,120
326427334,星球研究所,https://i1.hdslb.com/bfs/face/9840d62117e6d9508da58db8796fc7f443ca8fb5.jpg,热爱人类，热爱地球。《这里是中国》作者。店铺名：星球研究所,保密,6,True,bilibili 知名UP主,2,5132017,177,188
276928941,林捂捂,https://i0.hdslb.com/bfs/face/130befe6530b010a915b2af8f8852b8a743fdbfa.jpg,"一个年纪轻轻就脱离了高级趣味的人…
全平台都叫林捂捂",男,6,True,bilibili 知名UP主,2,1214471,511,225
1724598,森纳映画,https://i0.hdslb.com/bfs/face/168adb6135df48f581d142663ecd797d328b58d3.jpg,向真理和自由，无名的献身。 ,男,6,True,bilibili 2022百大UP主、知名游戏UP主,1,2471350,93,388
10119428,小片片说大片,https://i2.hdslb.com/bfs/face/949fd3f0b9fe23703c970d494edc41ae52ee32de.jpg,关注小片片，天天看大片！VX公众号：小片片说大片。商务合作VX：oyxlcjk,保密,6,True,2025百大UP主、2024百大UP主、知名影视UP主,2,7935108,863,1716
99157282,盗月社食遇记,https://i1.hdslb.com/bfs/face/c7fb5da587c2ec6b56ad47579933fda34c000457.jpg,心里有光，哪儿都美。,保密,6,True,2024百大UP主、2022年度原创栏目奖UP主、2021年度最高人气UP主,2,8330417,776,668
7552204,啊吗粽,https://i1.hdslb.com/bfs/face/40a3cce5ce83edf18ef0d144772fd3d94d6b3d3f.jpg,微博：@啊吗粽  啊和吗都是口字旁！！商务合作V：ida_Zzzz,男,6,True,2021百大UP主、2019年度原创栏目奖UP主、2023年度社会贡献,2,4883551,589,426
86439234,Upspeed盛嘉成,https://i0.hdslb.com/bfs/face/f4920f78b6d30a5f4b21e2026924bd99bfb50f58.jpg,传递属于Z世代的年轻汽车文化内容！合作wx：DT_swiss 备注合作 微博：盛嘉成,男,6,True,2025百大UP主、2024年度商业影响力奖UP主、知名汽车UP主,2,2695675,755,409
